clf_type,metric_name,metric_type,metric_val
logistic_regression,accuracy,train,0.724116402483438
logistic_regression,accuracy,test,0.7306789673869062
logistic_regression,precision,train,0.24562162162162163
logistic_regression,precision,test,0.25629405840886205
logistic_regression,recall,train,0.6995073891625616
logistic_regression,recall,test,0.7313218390804598
logistic_regression,f1,train,0.36357817250760127
logistic_regression,f1,test,0.3795674869500373
logistic_regression,auc,train,0.7133740674851623
logistic_regression,auc,test,0.7309595971508089
sgd,accuracy,train,0.7973015157295966
sgd,accuracy,test,0.8036740309136522
sgd,precision,train,0.30962158990906424
sgd,precision,test,0.3237900477164281
sgd,recall,train,0.6499384236453202
sgd,recall,test,0.6824712643678161
sgd,f1,train,0.41943175044704945
sgd,f1,test,0.439204808136847
sgd,auc,train,0.7329745278528365
sgd,auc,test,0.750765955941318
random_forest,accuracy,train,0.8033713710936146
random_forest,accuracy,test,0.8074775430929837
random_forest,precision,train,0.31606138884667984
random_forest,precision,test,0.32678132678132676
random_forest,recall,train,0.6403940886699507
random_forest,recall,test,0.6688218390804598
random_forest,f1,train,0.42323735883609725
random_forest,f1,test,0.4390473944824334
random_forest,auc,train,0.732228471454547
random_forest,auc,test,0.7469508192210325
knn,accuracy,train,0.9953175401477576
knn,accuracy,test,0.850530063931375
knn,precision,train,0.9805495523309663
knn,precision,test,0.3394495412844037
knn,recall,train,0.9778325123152709
knn,recall,test,0.34554597701149425
knn,f1,train,0.9791891475258209
knn,f1,test,0.3424706301174795
knn,auc,train,0.9876849697565098
knn,auc,test,0.6300917299558156
